iter	Passed	Remaining
0	1	101
1	1	90
2	2	84
3	3	77
4	4	76
5	4	74
6	5	76
7	6	75
8	7	74
9	8	74
10	9	73
11	10	74
12	11	74
13	12	74
14	12	73
15	13	72
16	14	71
17	15	70
18	16	70
19	17	69
20	18	68
21	19	67
22	20	67
23	21	67
24	22	67
25	23	66
26	24	65
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	53	36
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
