iter	Passed	Remaining
0	147	14635
1	149	7305
2	150	4855
3	150	3623
4	152	2889
5	153	2398
6	154	2048
7	155	1785
8	156	1580
9	157	1416
10	158	1282
11	160	1177
12	162	1087
13	163	1004
14	164	934
15	166	871
16	167	816
17	168	767
18	169	722
19	170	682
20	171	645
21	172	612
22	174	583
23	175	555
24	176	529
25	177	506
26	178	483
27	180	462
28	181	443
29	182	425
30	183	407
31	184	391
32	185	376
33	186	362
34	188	350
35	189	337
36	191	325
37	192	313
38	193	302
39	194	292
40	196	282
41	196	271
42	197	261
43	198	252
44	199	244
45	200	235
46	202	228
47	203	220
48	205	213
49	206	206
50	207	199
51	208	192
52	210	186
53	211	180
54	212	173
55	213	167
56	215	162
57	216	157
58	218	151
59	219	146
60	220	140
61	221	135
62	222	130
63	224	126
64	225	121
65	226	116
66	228	112
67	230	108
68	231	103
69	232	99
70	233	95
71	235	91
72	236	87
73	237	83
74	238	79
75	240	75
76	241	72
77	243	68
78	244	65
79	245	61
80	246	57
81	247	54
82	248	50
83	249	47
84	250	44
85	252	41
86	253	37
87	254	34
88	255	31
89	257	28
90	258	25
91	259	22
92	260	19
93	262	16
94	263	13
95	264	11
96	265	8
97	267	5
98	268	2
99	269	0
