iter	Passed	Remaining
0	138	138513
1	140	70122
2	141	47056
3	143	35657
4	144	28726
5	145	24122
6	146	20784
7	147	18288
8	148	16338
9	151	14963
10	152	13698
11	153	12635
12	154	11760
13	155	10971
14	156	10283
15	157	9706
16	158	9181
17	159	8720
18	162	8373
19	163	8018
20	164	7685
21	166	7398
22	167	7112
23	168	6848
24	169	6604
25	170	6374
26	170	6160
27	175	6083
28	177	5954
29	178	5786
30	180	5631
31	181	5494
32	182	5348
33	183	5209
34	184	5077
35	185	4954
36	185	4836
37	191	4854
38	193	4771
39	194	4672
40	195	4577
41	197	4496
42	198	4409
43	199	4326
44	200	4245
45	200	4166
46	207	4204
47	208	4139
48	209	4071
49	211	4013
50	212	3948
51	213	3884
52	213	3822
53	214	3763
54	215	3705
55	221	3728
56	222	3684
57	223	3635
58	224	3586
59	225	3539
60	227	3495
61	228	3458
62	229	3415
63	230	3373
64	234	3375
65	237	3359
66	238	3323
67	239	3286
68	241	3256
69	242	3217
70	243	3179
71	243	3143
72	244	3108
73	245	3074
74	250	3085
75	252	3072
76	253	3043
77	255	3017
78	256	2994
79	257	2965
80	258	2937
81	259	2909
82	260	2875
83	261	2848
84	267	2879
85	268	2854
86	269	2831
87	271	2809
88	272	2789
89	273	2763
90	274	2738
91	275	2714
92	275	2690
93	276	2666
94	282	2690
95	283	2674
96	285	2654
97	286	2635
98	287	2619
99	288	2598
100	289	2577
101	290	2557
102	291	2539
103	296	2556
104	298	2545
105	300	2535
106	301	2518
107	303	2505
108	304	2488
109	305	2472
110	306	2455
111	310	2460
112	312	2456
113	314	2440
114	315	2425
115	316	2414
116	317	2397
117	318	2381
118	319	2365
119	320	2349
120	321	2333
121	321	2317
122	325	2322
123	327	2313
124	328	2300
125	329	2287
126	330	2272
127	331	2258
128	332	2244
129	333	2229
130	334	2216
131	334	2202
132	336	2191
133	337	2179
134	340	2181
135	342	2173
136	343	2163
137	345	2157
138	347	2149
139	348	2139
140	349	2129
141	350	2115
142	350	2103
143	351	2091
144	354	2093
145	357	2090
146	358	2080
147	360	2073
148	361	2067
149	363	2059
150	364	2049
151	365	2038
152	366	2027
153	367	2017
154	371	2022
155	372	2013
156	373	2004
157	374	1995
158	376	1991
159	379	1990
160	379	1980
161	381	1971
162	382	1962
163	390	1991
164	396	2004
165	398	2000
166	403	2013
167	405	2007
168	406	1999
169	409	1997
170	410	1990
171	411	1981
172	412	1972
173	416	1975
174	417	1967
175	418	1958
176	419	1951
177	421	1944
178	422	1940
179	424	1932
180	425	1924
181	426	1914
182	426	1906
183	427	1897
184	431	1900
185	432	1891
186	433	1883
187	434	1877
188	436	1871
189	437	1863
190	438	1856
191	439	1848
192	440	1841
193	441	1833
194	442	1825
195	443	1818
196	444	1813
197	446	1806
198	447	1801
199	449	1797
200	451	1792
201	452	1785
202	452	1778
203	453	1771
204	454	1763
205	455	1756
206	458	1758
207	460	1752
208	462	1750
209	463	1743
210	464	1737
211	466	1734
212	468	1732
213	469	1726
214	471	1720
215	475	1727
216	477	1721
217	478	1714
218	481	1715
219	483	1714
220	485	1711
221	489	1715
222	491	1711
223	492	1706
224	493	1701
225	495	1696
226	496	1692
227	497	1685
228	499	1681
229	500	1677
230	504	1680
231	506	1675
232	507	1670
233	508	1665
234	509	1660
235	511	1654
236	513	1652
237	519	1663
238	520	1658
239	523	1658
240	524	1653
241	526	1647
242	528	1644
243	531	1645
244	534	1647
245	536	1644
246	541	1651
247	543	1647
248	544	1642
249	546	1640
250	549	1638
251	550	1634
252	552	1630
253	553	1624
254	553	1618
255	554	1612
256	556	1608
257	557	1602
258	561	1606
259	563	1604
260	565	1599
261	566	1594
262	567	1589
263	568	1586
264	570	1582
265	571	1576
266	572	1571
267	573	1565
268	578	1572
269	579	1567
270	580	1562
271	582	1558
272	583	1554
273	584	1548
274	585	1543
275	586	1538
276	587	1533
277	588	1527
278	593	1533
279	594	1529
280	595	1524
281	596	1519
282	598	1516
283	599	1512
284	600	1506
285	601	1501
286	602	1496
287	603	1491
288	609	1498
289	610	1494
290	611	1489
291	612	1485
292	614	1482
293	615	1478
294	616	1473
295	617	1467
296	618	1462
297	619	1458
298	621	1457
299	622	1453
300	623	1448
301	624	1444
302	626	1441
303	627	1437
304	628	1432
305	629	1427
306	630	1422
307	634	1425
308	637	1426
309	639	1424
310	642	1423
311	643	1419
312	644	1414
313	645	1410
314	649	1412
315	651	1410
316	653	1407
317	654	1403
318	655	1399
319	656	1395
320	657	1390
321	658	1386
322	659	1382
323	660	1378
324	663	1377
325	665	1375
326	666	1372
327	667	1368
328	668	1364
329	671	1362
330	673	1361
331	674	1357
332	675	1353
333	681	1359
334	682	1355
335	683	1351
336	685	1348
337	686	1344
338	687	1340
339	688	1336
340	689	1332
341	690	1327
342	694	1330
343	698	1331
344	700	1329
345	701	1325
346	703	1323
347	704	1319
348	705	1315
349	706	1311
350	711	1315
351	713	1313
352	714	1309
353	716	1307
354	717	1303
355	718	1299
356	719	1295
357	720	1291
358	721	1287
359	722	1283
360	729	1290
361	730	1287
362	732	1285
363	733	1282
364	734	1278
365	735	1274
366	736	1271
367	743	1276
368	744	1273
369	746	1270
370	747	1267
371	748	1263
372	749	1259
373	750	1256
374	751	1252
375	752	1248
376	755	1249
377	758	1248
378	759	1244
379	760	1241
380	762	1238
381	763	1235
382	764	1231
383	765	1227
384	766	1224
385	767	1220
386	767	1216
387	770	1215
388	771	1211
389	773	1210
390	774	1206
391	775	1202
392	776	1199
393	777	1195
394	778	1192
395	779	1188
396	785	1193
397	788	1192
398	791	1191
399	792	1189
400	793	1185
401	794	1181
402	801	1186
403	802	1184
404	804	1181
405	805	1178
406	807	1176
407	808	1172
408	809	1169
409	810	1166
410	814	1166
411	816	1165
412	818	1162
413	819	1159
414	820	1156
415	828	1163
416	830	1160
417	831	1158
418	832	1154
419	834	1151
420	835	1148
421	836	1145
422	842	1148
423	844	1146
424	845	1143
425	846	1140
426	847	1137
427	848	1134
428	849	1131
429	850	1127
430	854	1127
431	856	1126
432	858	1123
433	859	1120
434	860	1117
435	861	1114
